Z mean train,Z variance train,KL Divergence,KL Loss,QF Loss,VF Loss,Policy Loss,Q Predictions Mean,Q Predictions Std,Q Predictions Max,Q Predictions Min,V Predictions Mean,V Predictions Std,V Predictions Max,V Predictions Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min,Z mean eval,Z variance eval,AverageTrainReturn_all_train_tasks,AverageReturn_all_train_tasks,AverageReturn_all_test_tasks,Number of train steps total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.01768051,0.0027240315,49.09776,4.909776,1709894.2,1.7877988,-1.3129525,-0.002343947,0.0006778784,-0.0008270927,-0.004093933,0.008605328,0.00022576733,0.009059953,0.007946497,-1.3375745,0.29409763,-0.5362575,-1.8373688,9.937481e-05,0.0009998652,0.0012737433,-0.0010569898,2.8049877e-05,0.00054436264,0.00085474947,-0.0006506715,6.0996323,2.5358252e-10,-13026.133317560227,-21800.13486114983,-21733.31190492843,2000,5018,0,132.68018769699995,0,262.306479591,394.986667288,487.56476848299997,0
7.243287,4.063839e-10,736.6565,73.66565,853671.6,88981.19,2102.5159,-2136.9727,1635.3212,-1088.4937,-7709.6143,-2009.032,1510.2037,-1070.0127,-6614.2715,3.0940075,1.6723956,7.925808,-4.2455683,1.1132473,1.471258,3.1704917,-1.9016038,-0.75913846,0.15047541,-0.48180193,-1.1038043,0.48811573,0.0007583772,-11719.733473628581,-18964.999450929812,-12736.14885584973,4000,9018,0,113.943251626,92.57906099000002,207.93157696699996,414.453889583,897.4453066229999,1
0.4859528,0.001189119,60.497314,6.0497317,1101864.6,163251.17,3064.7898,-3152.8137,2711.01,-6.1467643,-16886.006,-3092.641,2794.4868,4.3440194,-17992.586,2.8069122,1.8420815,7.644068,-4.621978,1.185946,1.3587482,3.3646522,-2.579538,-0.7434415,0.6506963,0.24968827,-2.354601,1.1989129,0.0038055112,-15090.48624153539,-16915.164460721,-4831.1845998064655,6000,13165,0,118.26700520300005,88.00654921399996,214.87798080500022,421.15153522200023,1314.8173537330003,2
0.2858113,0.0023042099,53.363136,5.3363137,1495992.8,372052.84,7382.3193,-7384.474,6451.329,-200.44295,-38731.773,-7185.7812,6234.04,-73.35756,-39802.12,4.6786103,2.6251035,10.708195,-5.5312276,1.6694583,1.5652921,3.6014683,-3.5113506,-0.87507856,0.45231855,-0.013765082,-2.0868719,1.9706837,0.0030951898,-10529.960254818714,-11286.018644315936,-8557.242971379852,8000,17369,0,123.78563102800013,84.22717469200006,216.58716670300032,424.5999724230005,1735.9468440680007,3
0.19607379,0.002337336,74.9971,7.49971,6314364.5,274449.6,8398.652,-8452.629,7369.5835,-608.903,-43397.176,-8502.231,7510.0347,-988.9141,-44107.94,4.0090666,2.5376194,19.263939,-5.9338875,1.0573196,1.7265152,5.2987604,-7.8829513,-0.95971584,0.41306427,0.60367656,-2.1303184,0.3485443,0.0015773255,-10337.93349199311,-13365.602276993106,-23443.22436644053,10000,21589,0,120.27027410500023,80.75678056800007,219.40697107099982,420.4340257440001,2163.0365075730006,4
0.42834753,0.0024292055,52.32911,5.232911,17318168.0,311921.9,13697.778,-13922.299,12819.323,-272.14136,-58024.594,-13691.025,12477.116,-236.60352,-65883.055,6.067388,3.077443,16.118574,-3.641493,1.2162199,2.306176,6.1953216,-5.3508873,-1.0614698,0.889031,0.42176124,-2.9937844,0.9319023,0.0007143153,-10288.58680088194,-12615.396687786548,-13485.675032372916,12000,25779,0,130.7184514300002,87.41257813100037,217.46277641299866,435.5938059739992,2595.824912941,5
0.38627335,0.0029640072,50.248066,5.0248065,2396784.0,379849.62,13219.846,-13347.616,12831.123,-217.08409,-54640.094,-13594.791,13014.659,-381.4154,-56455.12,5.591343,2.5703876,15.858072,-3.1483147,1.7915868,1.4538357,5.576335,-4.744624,-1.3859347,0.8364699,-0.11049092,-2.8041859,1.4376531,0.00069797545,-10013.670007134493,-13362.571093969007,-27230.948176596634,14000,29978,0,118.74206496900024,84.60664883500021,218.3529905370001,421.70170434100055,3022.771802489002,6
1.2641184,0.0011116529,65.04826,6.5048265,6952747.0,798627.4,15776.806,-15897.6875,15413.783,-281.97162,-72673.305,-15735.768,15264.573,-244.95044,-72479.305,6.25965,2.6399233,17.843475,-1.930078,1.9091665,1.7361605,5.1797066,-7.45159,-1.1506985,0.7109711,0.11103296,-3.256874,0.541374,0.0013122357,-10124.140001714386,-13152.71418699138,-11693.048556035126,16000,34051,0,122.65431135500012,89.85191247600005,210.9001362580002,423.4063600890004,3436.9030702540017,7
0.4979146,0.0032703585,56.150803,5.6150804,14690224.0,306242.34,17158.197,-17227.014,14587.899,-263.64047,-70997.914,-17283.96,14701.171,-200.33165,-71177.78,7.1916256,2.937355,17.81688,-4.578969,1.9338219,2.0423973,6.5326324,-9.532918,-1.1917783,0.7840094,0.5345455,-3.37207,0.22924738,0.0015209558,-11103.283593674143,-13944.830787683335,-20240.4519775461,18000,38051,0,122.59607805799988,80.57768991000012,206.93186817099968,410.10563613899967,3852.944402999002,8
0.5664703,0.0020632981,60.42312,6.042312,5158676.0,330586.44,18004.705,-18135.402,16603.875,-320.83463,-76692.41,-18016.04,16598.674,128.89888,-80322.36,7.172327,2.9360032,19.32714,-2.0705903,2.010748,2.0437484,6.8110237,-12.951612,-1.0918764,0.8551958,2.0,-3.6321301,0.2513637,0.001651685,-12043.679913579144,-13814.081086616796,-15052.82660780731,20000,42205,0,120.34810803299933,86.51403156200013,215.16766716300117,422.02980675800063,4272.017220510003,9
