Below are the simulation results for the test trials
WORLD	TASK	SUCCESS	STEPS	LOWEST_CLEARANCE
256	6	1	250	0.113
256	6	1	250	0.208
256	6	1	250	0.198
256	6	1	250	0.067
256	6	1	250	0.208
256	7	1	250	0.134
256	7	1	250	0.182
256	7	1	250	0.171
256	7	1	250	0.121
256	7	1	250	0.168
256	8	1	250	0.310
256	8	1	250	0.284
256	8	1	250	0.334
256	8	1	250	0.300
256	8	1	250	0.290
256	9	1	250	0.323
256	9	1	250	0.281
256	9	1	250	0.299
256	9	1	250	0.305
256	9	1	250	0.308
252	6	1	250	0.219
252	6	1	250	0.272
252	6	1	250	0.352
252	6	1	250	0.347
252	6	1	250	0.186
252	7	1	250	0.086
252	7	1	250	0.119
252	7	1	250	0.086
252	7	1	250	0.230
252	7	1	250	0.216
252	8	1	250	0.421
252	8	1	250	0.306
252	8	1	250	0.350
252	8	1	250	0.315
252	8	1	250	0.350
252	9	1	250	0.334
252	9	1	250	0.335
252	9	1	250	0.372
252	9	1	250	0.352
252	9	1	250	0.350
201	6	1	250	0.226
201	6	1	250	0.228
201	6	1	250	0.284
201	6	1	250	0.245
201	6	1	250	0.353
201	7	1	250	0.203
201	7	1	250	0.100
201	7	1	250	0.235
201	7	1	250	0.390
201	7	1	250	0.308
201	8	1	250	0.293
201	8	1	250	0.213
201	8	1	250	0.284
201	8	1	250	0.244
201	8	1	250	0.255
201	9	1	250	0.247
201	9	1	250	0.297
201	9	1	250	0.302
201	9	1	250	0.252
201	9	1	250	0.233
86	6	1	250	0.163
86	6	1	250	0.099
86	6	1	250	0.212
86	6	1	250	0.129
86	6	1	250	0.150
86	7	1	250	0.166
86	7	1	250	0.179
86	7	1	250	0.183
86	7	1	250	0.067
86	7	1	250	0.179
86	8	1	250	0.233
86	8	1	250	0.280
86	8	1	250	0.291
86	8	1	250	0.224
86	8	1	250	0.284
86	9	1	250	0.299
86	9	1	250	0.285
86	9	1	250	0.287
86	9	1	250	0.302
86	9	1	250	0.300
150	6	1	250	0.260
150	6	1	250	0.128
150	6	1	250	0.374
150	6	1	250	0.361
150	6	1	250	0.267
150	7	1	250	0.214
150	7	1	250	0.177
150	7	1	250	0.112
150	7	1	250	0.162
150	7	1	250	0.126
150	8	1	250	0.270
150	8	1	250	0.272
150	8	1	250	0.126
150	8	1	250	0.301
150	8	1	250	0.268
150	9	1	250	0.335
150	9	1	250	0.329
150	9	1	250	0.279
150	9	1	250	0.349
150	9	1	250	0.254
235	6	1	250	0.195
235	6	1	250	0.182
235	6	1	250	0.332
235	6	1	250	0.205
235	6	1	250	0.269
235	7	1	250	0.254
235	7	1	250	0.130
235	7	1	250	0.201
235	7	1	250	0.254
235	7	1	250	0.292
235	8	1	250	0.254
235	8	1	250	0.255
235	8	1	250	0.241
235	8	1	250	0.226
235	8	1	250	0.224
235	9	1	250	0.278
235	9	1	250	0.301
235	9	1	250	0.258
235	9	1	250	0.270
235	9	1	250	0.262
241	6	1	250	0.221
241	6	1	250	0.158
241	6	1	250	0.172
241	6	1	250	0.279
241	6	1	250	0.200
241	7	1	250	0.087
241	7	1	250	0.137
241	7	1	250	0.077
241	7	1	250	0.160
241	7	1	250	0.072
241	8	1	250	0.253
241	8	1	250	0.262
241	8	1	250	0.249
241	8	1	250	0.285
241	8	1	250	0.246
241	9	1	250	0.305
241	9	1	250	0.295
241	9	1	250	0.295
241	9	1	250	0.240
241	9	1	250	0.268
218	6	1	250	0.256
218	6	1	250	0.159
218	6	1	250	0.335
218	6	1	250	0.297
218	6	1	250	0.135
218	7	1	250	0.358
218	7	1	250	0.221
218	7	1	250	0.100
218	7	1	250	0.129
218	7	1	250	0.069
218	8	1	250	0.180
218	8	1	250	0.285
218	8	1	250	0.161
218	8	1	250	0.139
218	8	1	250	0.146
218	9	1	250	0.107
218	9	1	250	0.145
218	9	1	250	0.129
218	9	1	250	0.170
218	9	1	250	0.255
43	6	1	250	0.221
43	6	1	250	0.270
43	6	1	250	0.076
43	6	1	250	0.150
43	6	1	250	0.334
43	7	1	250	0.172
43	7	1	250	0.137
43	7	1	250	0.171
43	7	1	250	0.176
43	7	1	250	0.142
43	8	1	250	0.126
43	8	1	233	0.118
43	8	1	246	0.109
43	8	1	250	0.156
43	8	1	250	0.104
43	9	1	231	0.169
43	9	1	250	0.145
43	9	1	250	0.147
43	9	1	250	0.155
43	9	1	250	0.137
46	6	1	250	0.241
46	6	1	250	0.285
46	6	1	250	0.051
46	6	1	250	0.242
46	6	1	250	0.111
46	7	1	250	0.128
46	7	1	250	0.399
46	7	1	250	0.217
46	7	1	250	0.096
46	7	1	250	0.108
46	8	1	250	0.205
46	8	1	250	0.193
46	8	1	250	0.213
46	8	1	250	0.205
46	8	1	250	0.217
46	9	1	250	0.206
46	9	1	250	0.244
46	9	1	250	0.204
46	9	1	250	0.196
46	9	1	250	0.212
137	6	1	250	0.260
137	6	1	250	0.104
137	6	1	250	0.348
137	6	1	250	0.184
137	6	1	250	0.226
137	7	1	250	0.092
137	7	1	250	0.099
137	7	1	250	0.147
137	7	1	250	0.070
137	7	1	250	0.108
137	8	1	250	0.129
137	8	1	250	0.126
137	8	1	250	0.130
137	8	1	250	0.122
137	8	1	250	0.136
137	9	1	250	0.159
137	9	1	250	0.199
137	9	1	250	0.215
137	9	1	250	0.177
137	9	1	250	0.170
171	6	1	250	0.271
171	6	1	250	0.348
171	6	1	250	0.311
171	6	1	250	0.248
171	6	1	250	0.163
171	7	1	250	0.118
171	7	1	250	0.098
171	7	1	250	0.147
171	7	1	250	0.138
171	7	1	250	0.106
171	8	1	250	0.475
171	8	1	250	0.199
171	8	1	250	0.166
171	8	1	250	0.174
171	8	1	250	0.212
171	9	1	250	0.170
171	9	1	250	0.160
171	9	1	250	0.150
171	9	1	250	0.275
171	9	1	250	0.442
238	6	1	250	0.226
238	6	1	250	0.168
238	6	1	250	0.169
238	6	1	250	0.169
238	6	1	250	0.121
238	7	1	250	0.185
238	7	1	250	0.133
238	7	1	250	0.149
238	7	1	250	0.206
238	7	1	250	0.144
238	8	1	250	0.222
238	8	1	250	0.220
238	8	1	250	0.176
238	8	1	250	0.063
238	8	1	250	0.167
238	9	1	250	0.179
238	9	1	250	0.205
238	9	1	250	0.216
238	9	1	250	0.182
238	9	1	250	0.188
251	6	1	250	0.279
251	6	1	250	0.296
251	6	1	250	0.194
251	6	1	250	0.114
251	6	1	250	0.201
251	7	1	250	0.190
251	7	1	250	0.201
251	7	1	250	0.138
251	7	1	250	0.163
251	7	1	250	0.190
251	8	1	250	0.143
251	8	1	250	0.123
251	8	1	238	0.106
251	8	1	250	0.121
251	8	1	209	0.113
251	9	1	222	0.118
251	9	1	250	0.158
251	9	1	250	0.141
251	9	1	250	0.168
251	9	1	223	0.116
4	6	1	250	0.277
4	6	1	250	0.054
4	6	1	250	0.275
4	6	1	250	0.131
4	6	1	250	0.236
4	7	0	210	0.004
4	7	0	141	0.000
4	7	1	250	0.019
4	7	0	207	0.011
4	7	1	250	0.017
4	8	1	250	0.089
4	8	1	250	0.244
4	8	1	250	0.238
4	8	1	250	0.061
4	8	1	250	0.078
4	9	1	250	0.126
4	9	1	250	0.148
4	9	1	250	0.195
4	9	1	250	0.172
4	9	1	250	0.239
151	6	1	250	0.291
151	6	1	250	0.112
151	6	1	250	0.305
151	6	1	250	0.338
151	6	1	250	0.281
151	7	1	250	0.180
151	7	1	250	0.224
151	7	1	250	0.156
151	7	1	250	0.146
151	7	1	250	0.114
151	8	1	250	0.178
151	8	1	250	0.202
151	8	1	250	0.213
151	8	1	250	0.208
151	8	1	250	0.221
151	9	1	250	0.210
151	9	1	250	0.228
151	9	1	250	0.228
151	9	1	250	0.235
151	9	1	250	0.224
162	6	1	250	0.060
162	6	1	250	0.252
162	6	1	250	0.081
162	6	1	250	0.285
162	6	1	250	0.094
162	7	1	250	0.067
162	7	1	250	0.048
162	7	1	250	0.029
162	7	1	250	0.077
162	7	1	250	0.103
162	8	1	250	0.161
162	8	1	234	0.163
162	8	1	250	0.140
162	8	1	250	0.162
162	8	1	250	0.157
162	9	1	250	0.144
162	9	1	250	0.139
162	9	1	250	0.154
162	9	1	250	0.119
162	9	1	250	0.173
224	6	1	250	0.203
224	6	1	250	0.150
224	6	1	250	0.128
224	6	1	250	0.243
224	6	1	250	0.243
224	7	1	250	0.099
224	7	1	250	0.219
224	7	1	250	0.205
224	7	1	250	0.099
224	7	1	250	0.121
224	8	1	250	0.197
224	8	1	250	0.183
224	8	1	250	0.187
224	8	1	250	0.180
224	8	1	250	0.236
224	9	1	250	0.184
224	9	1	250	0.183
224	9	1	250	0.203
224	9	1	250	0.135
224	9	1	250	0.300
253	6	1	250	0.183
253	6	1	250	0.171
253	6	1	250	0.160
253	6	1	250	0.125
253	6	1	250	0.147
253	7	1	250	0.226
253	7	1	250	0.096
253	7	1	250	0.069
253	7	1	250	0.126
253	7	1	250	0.137
253	8	1	250	0.185
253	8	1	250	0.187
253	8	1	250	0.177
253	8	1	250	0.178
253	8	1	250	0.179
253	9	1	250	0.191
253	9	1	250	0.147
253	9	1	250	0.153
253	9	1	250	0.175
253	9	1	250	0.200
267	6	1	250	0.330
267	6	1	250	0.170
267	6	1	250	0.261
267	6	1	250	0.088
267	6	1	250	0.285
267	7	1	250	0.118
267	7	1	250	0.136
267	7	1	250	0.086
267	7	1	250	0.136
267	7	1	250	0.098
267	8	1	250	0.122
267	8	1	250	0.109
267	8	1	250	0.127
267	8	1	250	0.128
267	8	1	250	0.128
267	9	1	250	0.127
