Below are the simulation results for the test trials
WORLD	TASK	SUCCESS	STEPS	LOWEST_CLEARANCE
256	6	1	250	0.060
256	6	1	250	0.039
256	6	1	250	0.072
256	6	1	250	0.087
256	6	1	250	0.100
256	7	1	250	0.089
256	7	1	250	0.067
256	7	1	250	0.062
256	7	1	250	0.040
256	7	1	250	0.051
256	8	1	185	0.085
256	8	1	184	0.072
256	8	1	186	0.101
256	8	1	177	0.102
256	8	1	182	0.082
256	9	1	197	0.064
256	9	1	207	0.084
256	9	1	211	0.067
256	9	1	183	0.074
256	9	1	198	0.082
252	6	1	224	0.078
252	6	1	250	0.070
252	6	1	226	0.098
252	6	1	250	0.097
252	6	1	250	0.100
252	7	1	168	0.098
252	7	1	143	0.062
252	7	1	155	0.096
252	7	1	250	0.101
252	7	1	138	0.090
252	8	1	114	0.100
252	8	1	114	0.100
252	8	1	108	0.101
252	8	1	103	0.095
252	8	1	116	0.101
252	9	1	118	0.097
252	9	1	130	0.097
252	9	1	132	0.101
252	9	1	128	0.100
252	9	1	129	0.100
201	6	1	237	0.083
201	6	1	250	0.085
201	6	1	221	0.090
201	6	1	250	0.099
201	6	1	250	0.100
201	7	1	212	0.094
201	7	1	190	0.088
201	7	1	250	0.073
201	7	1	194	0.093
201	7	1	170	0.100
201	8	1	130	0.102
201	8	1	128	0.094
201	8	1	132	0.101
201	8	1	122	0.099
201	8	1	115	0.100
201	9	1	136	0.103
201	9	1	117	0.092
201	9	1	137	0.101
201	9	1	137	0.101
201	9	1	137	0.101
86	6	1	250	0.054
86	6	1	250	0.050
86	6	1	250	0.053
86	6	1	250	0.051
86	6	1	250	0.052
86	7	1	242	0.080
86	7	1	250	0.059
86	7	1	233	0.032
86	7	1	250	0.084
86	7	1	250	0.096
86	8	1	171	0.078
86	8	1	175	0.111
86	8	1	167	0.107
86	8	1	167	0.096
86	8	1	178	0.104
86	9	1	190	0.121
86	9	1	176	0.111
86	9	1	195	0.135
86	9	1	186	0.118
86	9	1	179	0.123
150	6	1	250	0.133
150	6	1	250	0.129
150	6	1	250	0.084
150	6	1	250	0.088
150	6	1	250	0.099
150	7	1	250	0.075
150	7	1	250	0.101
150	7	1	250	0.071
150	7	1	250	0.101
150	7	1	225	0.063
150	8	1	153	0.121
150	8	1	150	0.119
150	8	1	150	0.103
150	8	1	150	0.086
150	8	1	151	0.094
150	9	1	152	0.085
150	9	1	180	0.096
150	9	1	149	0.111
150	9	1	159	0.136
150	9	1	160	0.107
235	6	1	250	0.101
235	6	1	250	0.121
235	6	1	250	0.074
235	6	1	250	0.073
235	6	1	250	0.100
235	7	1	250	0.086
235	7	1	250	0.094
235	7	1	250	0.081
235	7	1	250	0.070
235	7	1	250	0.063
235	8	1	173	0.098
235	8	1	183	0.101
235	8	1	160	0.120
235	8	1	177	0.096
235	8	1	166	0.106
235	9	1	171	0.097
235	9	1	168	0.120
235	9	1	174	0.124
235	9	1	181	0.108
235	9	1	166	0.105
241	6	1	250	0.092
241	6	1	250	0.080
241	6	1	250	0.096
241	6	1	250	0.089
241	6	1	250	0.090
241	7	1	250	0.066
241	7	1	250	0.068
241	7	1	108	0.058
241	7	1	250	0.103
241	7	1	250	0.134
241	8	1	169	0.087
241	8	1	165	0.132
241	8	1	162	0.143
241	8	1	167	0.106
241	8	1	161	0.096
241	9	1	162	0.130
241	9	1	188	0.082
241	9	1	189	0.105
241	9	1	203	0.097
241	9	1	172	0.094
218	6	1	250	0.059
218	6	1	250	0.050
218	6	1	250	0.077
218	6	1	250	0.081
218	6	1	250	0.107
218	7	1	250	0.039
218	7	1	246	0.050
218	7	1	220	0.065
218	7	1	210	0.079
218	7	1	246	0.069
218	8	1	153	0.091
218	8	1	139	0.100
218	8	1	149	0.094
218	8	1	148	0.093
218	8	1	135	0.113
218	9	1	154	0.098
218	9	1	156	0.102
218	9	1	136	0.106
218	9	1	143	0.106
218	9	1	147	0.099
43	6	1	250	0.115
43	6	1	250	0.110
43	6	1	250	0.073
43	6	1	250	0.107
43	6	1	250	0.084
43	7	1	250	0.065
43	7	1	250	0.047
43	7	1	250	0.060
43	7	1	250	0.058
43	7	1	250	0.072
43	8	1	165	0.138
43	8	1	154	0.121
43	8	1	147	0.137
43	8	1	158	0.103
43	8	1	149	0.112
43	9	1	139	0.118
43	9	1	141	0.127
43	9	1	176	0.120
43	9	1	161	0.125
43	9	1	164	0.129
46	6	1	250	0.059
46	6	1	250	0.068
46	6	1	250	0.048
46	6	1	250	0.085
46	6	1	250	0.060
46	7	1	250	0.048
46	7	1	233	0.051
46	7	1	223	0.057
46	7	1	247	0.080
46	7	1	250	0.082
46	8	1	139	0.108
46	8	1	151	0.095
46	8	1	145	0.111
46	8	1	147	0.116
46	8	1	146	0.108
46	9	1	149	0.100
46	9	1	144	0.104
46	9	1	151	0.113
46	9	1	148	0.107
46	9	1	150	0.120
137	6	1	250	0.103
137	6	1	250	0.105
137	6	1	250	0.053
137	6	1	250	0.094
137	6	1	250	0.072
137	7	1	250	0.067
137	7	1	250	0.046
137	7	1	250	0.045
137	7	1	250	0.052
137	7	1	250	0.055
137	8	1	178	0.085
137	8	1	177	0.089
137	8	1	178	0.086
137	8	1	184	0.093
137	8	1	196	0.092
137	9	1	207	0.086
137	9	1	192	0.097
137	9	1	231	0.086
137	9	1	230	0.086
137	9	1	203	0.073
171	6	1	250	0.046
171	6	1	250	0.121
171	6	1	250	0.125
171	6	1	250	0.121
171	6	1	250	0.096
171	7	1	250	0.069
171	7	1	213	0.045
171	7	1	250	0.063
171	7	1	250	0.060
171	7	1	250	0.057
171	8	1	174	0.097
171	8	1	169	0.121
171	8	1	181	0.107
171	8	1	166	0.131
171	8	1	171	0.108
171	9	1	193	0.122
171	9	1	172	0.126
171	9	1	189	0.110
171	9	1	168	0.118
171	9	1	170	0.131
238	6	1	250	0.110
238	6	1	250	0.127
238	6	1	250	0.082
238	6	1	250	0.094
238	6	1	250	0.146
238	7	1	250	0.113
238	7	1	191	0.110
238	7	1	250	0.100
238	7	1	250	0.114
238	7	1	181	0.110
238	8	1	158	0.102
238	8	1	169	0.094
238	8	1	173	0.077
238	8	1	169	0.114
238	8	1	246	0.134
238	9	1	169	0.056
238	9	1	136	0.085
238	9	1	169	0.132
238	9	1	158	0.064
238	9	1	150	0.123
251	6	1	250	0.107
251	6	1	250	0.126
251	6	1	250	0.175
251	6	1	250	0.120
251	6	1	250	0.153
251	7	1	209	0.068
251	7	1	250	0.120
251	7	1	248	0.068
251	7	1	200	0.040
251	7	1	208	0.083
251	8	1	116	0.099
251	8	1	132	0.115
251	8	1	128	0.114
251	8	1	124	0.115
251	8	1	130	0.094
251	9	1	146	0.104
251	9	1	130	0.117
251	9	1	133	0.121
251	9	1	139	0.110
251	9	1	149	0.118
4	6	1	250	0.041
4	6	1	250	0.049
4	6	1	250	0.042
4	6	1	250	0.059
4	6	1	250	0.053
4	7	0	124	0.009
4	7	1	250	0.014
4	7	0	90	0.002
4	7	1	250	0.010
4	7	1	250	0.025
4	8	1	148	0.112
4	8	1	164	0.101
4	8	1	154	0.069
4	8	1	154	0.082
4	8	1	137	0.079
4	9	1	144	0.086
4	9	1	144	0.106
4	9	1	170	0.101
4	9	1	160	0.074
4	9	1	143	0.097
151	6	1	250	0.132
151	6	1	250	0.153
151	6	1	250	0.099
151	6	1	250	0.111
151	6	1	250	0.158
151	7	1	129	0.097
151	7	1	186	0.085
151	7	1	250	0.103
151	7	1	209	0.109
151	7	1	250	0.064
151	8	1	143	0.133
151	8	1	137	0.114
151	8	1	147	0.117
151	8	1	150	0.131
151	8	1	133	0.124
151	9	1	154	0.113
151	9	1	165	0.130
151	9	1	153	0.117
151	9	1	135	0.123
151	9	1	164	0.124
162	6	1	250	0.060
162	6	1	250	0.076
162	6	1	250	0.071
162	6	1	250	0.064
162	6	1	250	0.067
162	7	1	250	0.072
162	7	1	250	0.046
162	7	1	250	0.080
162	7	1	250	0.051
162	7	1	250	0.062
162	8	1	155	0.130
162	8	1	165	0.130
162	8	1	148	0.159
162	8	1	155	0.088
162	8	1	146	0.145
162	9	1	161	0.155
162	9	1	159	0.109
162	9	1	153	0.120
162	9	1	159	0.168
162	9	1	172	0.117
224	6	1	250	0.112
224	6	1	250	0.083
224	6	1	250	0.085
224	6	1	250	0.089
224	6	1	250	0.087
224	7	1	217	0.069
224	7	1	173	0.084
224	7	1	250	0.093
224	7	1	185	0.083
224	7	1	199	0.109
224	8	1	150	0.098
224	8	1	144	0.098
224	8	1	144	0.114
224	8	1	165	0.096
224	8	1	158	0.092
224	9	1	165	0.106
224	9	1	161	0.115
224	9	1	170	0.099
224	9	1	152	0.099
224	9	1	180	0.089
253	6	1	250	0.092
253	6	1	250	0.074
253	6	1	250	0.084
253	6	1	250	0.070
253	6	1	250	0.083
253	7	1	250	0.081
253	7	1	250	0.086
253	7	1	250	0.078
253	7	1	250	0.092
253	7	1	250	0.085
253	8	1	164	0.087
253	8	1	164	0.097
253	8	1	167	0.080
253	8	1	166	0.083
253	8	1	165	0.083
253	9	1	157	0.099
253	9	1	197	0.072
253	9	1	170	0.085
253	9	1	169	0.094
253	9	1	165	0.087
267	6	1	250	0.095
267	6	1	250	0.098
267	6	1	250	0.122
267	6	1	250	0.136
267	6	1	250	0.097
267	7	1	250	0.090
267	7	1	250	0.094
267	7	1	248	0.088
267	7	1	250	0.081
267	7	1	250	0.083
267	8	1	162	0.089
267	8	1	184	0.120
267	8	1	184	0.108
267	8	1	186	0.075
267	8	1	175	0.122
267	9	1	177	0.099
267	9	1	177	0.106
267	9	1	181	0.113
267	9	1	170	0.111
267	9	1	177	0.113
273	6	1	250	0.120
273	6	1	250	0.114
273	6	1	250	0.090
273	6	1	250	0.120
273	6	1	250	0.078
273	7	1	250	0.064
273	7	1	250	0.079
273	7	1	72	0.086
273	7	1	87	0.054
273	7	1	250	0.096
273	8	1	206	0.122
273	8	1	204	0.115
273	8	1	220	0.125
273	8	1	210	0.122
273	8	1	220	0.111
273	9	1	220	0.126
273	9	1	240	0.113
273	9	1	209	0.114
273	9	1	219	0.098
273	9	1	226	0.124
278	6	1	250	0.118
278	6	1	250	0.059
278	6	1	250	0.113
278	6	1	250	0.098
278	6	1	250	0.114
278	7	1	250	0.093
278	7	1	250	0.068
278	7	1	250	0.072
278	7	1	250	0.078
278	7	1	250	0.118
278	8	1	171	0.114
278	8	1	164	0.113
278	8	1	187	0.125
278	8	1	154	0.101
278	8	1	168	0.098
278	9	1	182	0.121
278	9	1	180	0.107
278	9	1	201	0.110
278	9	1	176	0.105
278	9	1	188	0.119
78	6	1	250	0.067
78	6	1	250	0.096
78	6	1	250	0.065
78	6	1	250	0.069
78	6	1	250	0.113
78	7	1	250	0.094
78	7	1	250	0.106
78	7	1	250	0.061
78	7	1	250	0.117
78	7	1	250	0.081
78	8	1	134	0.156
78	8	1	159	0.138
78	8	1	153	0.166
78	8	1	145	0.156
78	8	1	139	0.163
78	9	1	148	0.151
78	9	1	156	0.128
78	9	1	143	0.152
78	9	1	153	0.142
78	9	1	147	0.163
89	6	1	250	0.081
89	6	1	250	0.103
89	6	1	250	0.077
89	6	1	249	0.099
89	6	1	250	0.089
89	7	1	161	0.055
89	7	1	192	0.057
89	7	1	201	0.057
89	7	1	227	0.081
89	7	1	162	0.086
89	8	1	107	0.134
89	8	1	109	0.121
89	8	1	102	0.128
89	8	1	106	0.132
89	8	1	105	0.157
89	9	1	108	0.120
89	9	1	122	0.112
89	9	1	114	0.141
89	9	1	115	0.137
89	9	1	107	0.119
124	6	1	250	0.096
124	6	1	250	0.093
124	6	1	250	0.090
124	6	1	250	0.062
124	6	1	250	0.086
124	7	1	250	0.099
124	7	1	250	0.141
124	7	1	250	0.065
124	7	1	243	0.060
124	7	1	197	0.113
124	8	1	143	0.153
124	8	1	148	0.156
124	8	1	147	0.162
124	8	1	141	0.156
124	8	1	150	0.172
124	9	1	156	0.108
124	9	1	163	0.113
124	9	1	153	0.100
124	9	1	173	0.106
124	9	1	161	0.107
144	6	1	250	0.114
144	6	1	250	0.142
144	6	1	250	0.115
144	6	1	235	0.073
144	6	1	250	0.047
144	7	1	229	0.110
144	7	1	250	0.071
144	7	1	250	0.096
144	7	1	250	0.074
144	7	1	221	0.063
144	8	1	125	0.101
144	8	1	119	0.107
144	8	1	138	0.083
144	8	1	128	0.080
144	8	1	117	0.087
144	9	1	145	0.094
144	9	1	145	0.104
144	9	1	146	0.085
144	9	1	145	0.090
144	9	1	139	0.103
176	6	1	250	0.130
176	6	1	250	0.125
176	6	1	250	0.121
176	6	1	250	0.166
176	6	1	250	0.058
176	7	1	237	0.089
176	7	1	231	0.061
176	7	1	250	0.065
176	7	1	250	0.051
176	7	1	250	0.096
176	8	1	158	0.099
176	8	1	250	0.061
176	8	1	134	0.102
176	8	1	161	0.079
176	8	1	250	0.021
176	9	1	159	0.093
176	9	1	173	0.102
176	9	1	165	0.079
176	9	1	157	0.116
176	9	1	155	0.082
196	6	1	250	0.063
196	6	1	250	0.060
196	6	1	250	0.068
196	6	1	250	0.086
196	6	1	250	0.093
196	7	1	250	0.065
196	7	1	250	0.061
196	7	1	250	0.101
196	7	1	247	0.057
196	7	1	232	0.060
196	8	1	143	0.110
196	8	1	149	0.108
196	8	1	152	0.119
196	8	1	150	0.099
196	8	1	146	0.094
196	9	1	162	0.101
196	9	1	153	0.103
196	9	1	142	0.119
196	9	1	148	0.099
196	9	1	159	0.113
213	6	1	250	0.138
213	6	1	250	0.184
213	6	1	250	0.157
213	6	1	250	0.152
213	6	1	250	0.183
213	7	1	250	0.149
213	7	1	250	0.133
213	7	1	250	0.124
213	7	1	250	0.137
213	7	1	250	0.133
213	8	1	160	0.102
213	8	1	159	0.109
213	8	1	166	0.113
213	8	1	163	0.107
213	8	1	157	0.113
213	9	1	173	0.114
213	9	1	173	0.108
213	9	1	157	0.096
213	9	1	183	0.109
213	9	1	180	0.116
225	6	1	250	0.082
225	6	1	250	0.102
225	6	1	250	0.090
225	6	1	250	0.104
225	6	1	250	0.093
225	7	1	250	0.075
225	7	1	250	0.096
225	7	1	250	0.081
225	7	1	245	0.116
225	7	1	250	0.057
225	8	1	135	0.113
225	8	1	151	0.113
225	8	1	148	0.104
225	8	1	149	0.122
225	8	1	150	0.102
225	9	1	157	0.124
225	9	1	177	0.093
225	9	1	157	0.104
225	9	1	173	0.116
225	9	1	169	0.123
226	6	1	250	0.108
226	6	1	182	0.137
226	6	1	195	0.123
226	6	1	250	0.100
226	6	1	250	0.105
226	7	1	129	0.128
226	7	1	157	0.107
226	7	1	137	0.139
226	7	1	203	0.109
226	7	1	145	0.128
226	8	1	109	0.139
226	8	1	120	0.124
226	8	1	125	0.132
226	8	1	115	0.125
226	8	1	110	0.110
226	9	1	112	0.138
226	9	1	111	0.134
226	9	1	118	0.143
226	9	1	118	0.140
226	9	1	127	0.127
232	6	1	250	0.080
232	6	1	250	0.113
232	6	1	250	0.092
232	6	1	250	0.151
232	6	1	250	0.110
232	7	1	184	0.050
232	7	1	240	0.057
232	7	1	250	0.057
232	7	1	174	0.137
232	7	1	237	0.092
232	8	1	132	0.138
232	8	1	126	0.139
232	8	1	143	0.134
232	8	1	109	0.143
232	8	1	124	0.139
232	9	1	132	0.148
232	9	1	133	0.124
232	9	1	128	0.148
232	9	1	137	0.137
232	9	1	143	0.129
269	6	1	250	0.062
269	6	1	250	0.085
269	6	1	250	0.108
269	6	1	250	0.120
269	6	1	250	0.078
269	7	1	250	0.103
269	7	1	193	0.094
269	7	1	250	0.107
269	7	1	186	0.119
269	7	1	250	0.096
269	8	1	139	0.103
269	8	1	138	0.099
269	8	1	125	0.099
269	8	1	126	0.105
269	8	1	137	0.101
269	9	1	142	0.099
269	9	1	149	0.104
269	9	1	150	0.102
269	9	1	140	0.108
269	9	1	156	0.100
7	6	1	250	0.077
7	6	1	250	0.318
7	6	1	250	0.034
7	6	1	250	0.126
7	6	1	250	0.059
7	7	1	181	0.035
7	7	0	129	0.030
7	7	1	170	0.065
7	7	1	229	0.049
7	7	0	147	0.034
7	8	1	117	0.120
7	8	1	125	0.094
7	8	1	112	0.144
7	8	1	125	0.114
7	8	1	125	0.117
7	9	1	118	0.126
7	9	1	132	0.122
7	9	1	122	0.122
7	9	1	119	0.135
7	9	1	121	0.142
13	6	1	250	0.067
13	6	1	238	0.116
13	6	1	250	0.084
13	6	1	210	0.111
13	6	1	250	0.088
13	7	1	219	0.104
13	7	1	192	0.113
13	7	1	234	0.125
13	7	1	250	0.108
13	7	1	159	0.081
13	8	1	131	0.121
13	8	1	126	0.141
13	8	1	132	0.122
13	8	1	120	0.134
13	8	1	132	0.135
13	9	1	145	0.143
13	9	1	131	0.141
13	9	1	134	0.124
13	9	1	131	0.145
13	9	1	136	0.139
27	6	1	250	0.200
27	6	1	250	0.169
27	6	1	206	0.125
27	6	1	250	0.105
27	6	1	250	0.125
27	7	1	250	0.106
27	7	1	180	0.053
27	7	1	176	0.159
27	7	1	173	0.135
27	7	1	229	0.072
27	8	1	80	0.188
27	8	1	80	0.188
27	8	1	86	0.154
27	8	1	82	0.195
27	8	1	81	0.212
27	9	1	88	0.145
27	9	1	90	0.186
27	9	1	88	0.145
27	9	1	89	0.149
27	9	1	88	0.145
104	6	1	250	0.096
104	6	1	250	0.138
104	6	1	250	0.093
104	6	1	250	0.061
104	6	1	250	0.088
104	7	1	250	0.099
104	7	1	250	0.097
104	7	1	250	0.121
104	7	1	250	0.129
104	7	1	250	0.101
104	8	1	164	0.096
104	8	1	160	0.114
104	8	1	154	0.118
104	8	1	146	0.099
104	8	1	155	0.118
104	9	1	160	0.119
104	9	1	153	0.108
104	9	1	176	0.110
104	9	1	154	0.108
104	9	1	162	0.112
142	6	1	156	0.102
142	6	1	250	0.066
142	6	1	250	0.121
142	6	1	174	0.117
142	6	1	208	0.076
142	7	1	133	0.089
142	7	1	134	0.091
142	7	1	121	0.106
142	7	1	106	0.066
142	7	1	139	0.093
142	8	1	102	0.117
