Below are the simulation results for the test trials
WORLD	TASK	SUCCESS	STEPS	LOWEST_CLEARANCE
0	6	1	126	0.069	
0	6	1	100	0.090	
0	6	1	250	1.397	
0	6	1	250	0.245	
0	6	1	250	0.340	
1	6	1	87	0.132	
1	6	1	98	0.121	
1	6	1	250	0.072	
1	6	1	250	0.239	
1	6	1	250	0.067	
2	6	1	65	0.107	
2	6	1	72	0.116	
2	6	1	134	0.079	
2	6	1	70	0.112	
2	6	1	118	0.072	
3	6	1	78	0.246	
3	6	1	80	0.185	
3	6	1	250	0.072	
3	6	1	250	0.054	
3	6	1	250	0.257	
4	6	1	157	0.060	
4	6	1	167	0.053	
4	6	1	146	0.039	
4	6	1	182	0.055	
4	6	1	195	0.072	
5	6	1	77	0.218	
5	6	1	77	0.218	
5	6	1	250	0.123	
5	6	1	250	0.137	
5	6	1	144	0.215	
6	6	1	107	0.090	
6	6	1	109	0.057	
6	6	1	250	0.740	
6	6	1	250	0.121	
6	6	1	250	0.072	
7	6	1	167	0.048	
7	6	1	185	0.059	
7	6	1	250	0.067	
7	6	1	250	0.428	
7	6	1	250	0.059	
8	6	1	97	0.105	
8	6	1	103	0.075	
8	6	1	235	0.123	
8	6	1	250	0.106	
8	6	1	137	0.124	
9	6	1	77	0.155	
9	6	1	77	0.202	
9	6	1	250	0.058	
9	6	1	250	0.050	
9	6	1	250	0.100	
10	6	1	157	0.098	
10	6	1	139	0.143	
10	6	1	134	0.099	
10	6	1	179	0.173	
10	6	1	153	0.076	
11	6	1	81	0.255	
11	6	1	81	0.255	
11	6	1	250	0.075	
11	6	1	189	0.207	
11	6	1	250	0.068	
12	6	1	77	0.109	
12	6	1	79	0.097	
12	6	1	250	0.058	
12	6	1	250	0.461	
12	6	1	250	0.043	
13	6	1	102	0.122	
13	6	1	119	0.101	
13	6	1	214	0.072	
13	6	1	243	0.104	
13	6	1	250	0.055	
14	6	1	82	0.197	
14	6	1	83	0.145	
14	6	1	250	0.056	
14	6	1	250	0.060	
14	6	1	250	0.060	
15	6	1	79	0.129	
15	6	1	97	0.136	
15	6	1	250	0.227	
15	6	1	250	0.055	
15	6	1	250	0.071	
16	6	1	144	0.093	
16	6	1	122	0.120	
16	6	1	145	0.083	
16	6	1	200	0.081	
16	6	1	176	0.081	
17	6	1	74	0.143	
17	6	1	74	0.122	
17	6	1	250	0.058	
17	6	1	250	0.041	
17	6	1	250	0.059	
18	6	1	80	0.140	
18	6	1	80	0.141	
18	6	1	250	0.289	
18	6	1	250	0.176	
18	6	1	250	0.729	
19	6	1	130	0.054	
19	6	1	120	0.057	
19	6	1	250	0.047	
19	6	1	250	0.183	
19	6	1	250	0.622	
20	6	1	100	0.119	
20	6	1	77	0.188	
20	6	1	197	0.176	
20	6	1	250	0.231	
20	6	1	143	0.164	
21	6	1	75	0.192	
21	6	1	83	0.214	
21	6	1	250	0.085	
21	6	1	203	0.141	
21	6	1	250	0.086	
22	6	1	124	0.053	
22	6	1	118	0.048	
22	6	1	250	0.047	
