Below are the simulation results for the test trials
WORLD	TASK	SUCCESS	STEPS	LOWEST_CLEARANCE
256	6	1	85	0.030
256	6	0	44	0.000
256	6	0	35	0.006
256	6	0	49	0.013
256	6	0	49	0.027
252	6	1	95	0.026
252	6	1	74	0.035
252	6	1	71	0.037
252	6	0	41	0.021
252	6	1	72	0.035
201	6	1	77	0.020
201	6	0	44	0.000
201	6	1	72	0.003
201	6	0	48	0.020
201	6	1	72	0.033
86	6	1	85	0.045
86	6	1	99	0.005
86	6	1	73	0.046
86	6	1	74	0.016
86	6	1	103	0.014
150	6	0	39	0.015
150	6	0	72	0.000
150	6	0	74	0.000
150	6	1	99	0.022
150	6	1	101	0.030
235	6	1	93	0.044
235	6	1	93	0.031
235	6	0	40	0.014
235	6	1	87	0.011
235	6	1	85	0.026
241	6	1	45	0.034
241	6	1	94	0.036
241	6	1	77	0.018
241	6	1	78	0.009
241	6	1	75	0.005
218	6	0	45	0.031
218	6	1	105	0.029
218	6	0	40	0.004
218	6	0	35	0.016
218	6	1	87	0.011
43	6	1	89	0.033
43	6	1	96	0.098
43	6	1	33	0.058
43	6	1	83	0.042
43	6	0	49	0.006
46	6	1	82	0.049
46	6	1	82	0.021
46	6	0	34	0.006
46	6	1	91	0.030
46	6	1	34	0.022
137	6	0	61	0.003
137	6	0	61	0.003
137	6	0	55	0.015
137	6	1	77	0.033
137	6	1	85	0.039
171	6	1	103	0.009
171	6	1	55	0.001
171	6	0	44	0.000
171	6	0	71	0.016
171	6	0	31	0.012
238	6	1	93	0.057
238	6	0	82	0.028
238	6	1	74	0.030
238	6	1	76	0.019
238	6	1	81	0.012
251	6	1	90	0.038
251	6	1	84	0.036
251	6	0	45	0.001
251	6	1	72	0.018
251	6	1	71	0.036
4	6	1	118	0.010
4	6	0	31	0.000
4	6	1	44	0.028
4	6	1	88	0.032
4	6	1	90	0.032
151	6	0	50	0.032
151	6	1	86	0.063
151	6	1	78	0.048
151	6	1	72	0.026
151	6	1	72	0.038
162	6	1	121	0.030
162	6	1	121	0.017
162	6	1	72	0.018
162	6	1	72	0.034
162	6	1	75	0.008
224	6	1	90	0.039
224	6	1	82	0.012
224	6	1	74	0.032
224	6	1	72	0.013
224	6	1	73	0.050
253	6	1	110	0.015
253	6	1	100	0.031
253	6	1	82	0.016
253	6	1	75	0.002
253	6	0	39	0.000
267	6	1	97	0.051
267	6	1	76	0.041
267	6	0	48	0.027
267	6	1	73	0.043
267	6	1	79	0.032
273	6	1	83	0.017
273	6	1	101	0.001
273	6	0	30	0.019
273	6	0	30	0.006
273	6	1	93	0.041
278	6	1	109	0.013
278	6	0	63	0.022
278	6	1	79	0.047
278	6	1	83	0.054
278	6	1	73	0.011
78	6	1	100	0.024
78	6	1	73	0.048
78	6	1	70	0.020
78	6	1	70	0.032
78	6	1	80	0.027
89	6	1	250	1.776
89	6	1	250	1.776
89	6	1	250	1.776
89	6	1	250	1.776
89	6	1	250	1.776
124	6	0	42	0.000
124	6	0	61	0.028
124	6	1	77	0.012
124	6	1	90	0.009
124	6	1	77	0.045
144	6	1	90	0.033
144	6	1	86	0.042
144	6	1	73	0.039
144	6	1	72	0.050
144	6	1	73	0.014
176	6	1	108	0.076
176	6	1	144	0.099
176	6	1	79	0.050
176	6	1	80	0.014
176	6	1	79	0.025
196	6	1	73	0.050
196	6	1	74	0.051
196	6	1	76	0.030
196	6	1	74	0.018
196	6	1	73	0.039
213	6	1	97	0.044
213	6	1	90	0.050
213	6	1	75	0.003
213	6	1	76	0.050
213	6	0	60	0.000
225	6	1	86	0.031
225	6	0	40	0.009
225	6	1	75	0.024
225	6	1	74	0.049
225	6	1	74	0.032
226	6	1	87	0.031
226	6	0	46	0.004
226	6	1	71	0.075
226	6	1	90	0.057
226	6	0	44	0.018
232	6	1	92	0.035
232	6	1	75	0.051
232	6	0	55	0.021
232	6	1	75	0.016
232	6	1	76	0.014
269	6	1	72	0.037
269	6	1	73	0.026
269	6	1	72	0.015
269	6	1	72	0.012
269	6	1	76	0.040
7	6	1	82	0.045
7	6	1	84	0.052
7	6	0	67	0.000
7	6	0	50	0.007
7	6	0	50	0.000
13	6	1	74	0.039
13	6	1	73	0.038
13	6	1	72	0.043
13	6	0	29	0.022
13	6	1	72	0.044
27	6	1	81	0.156
27	6	1	71	0.083
27	6	1	70	0.075
27	6	1	70	0.065
27	6	1	70	0.075
104	6	1	125	0.028
104	6	0	92	0.015
104	6	0	64	0.000
104	6	1	73	0.037
104	6	1	72	0.038
142	6	1	93	0.030
142	6	1	84	0.054
142	6	1	73	0.018
142	6	1	72	0.003
142	6	0	53	0.000
183	6	1	85	0.099
183	6	1	86	0.047
183	6	1	83	0.089
183	6	0	40	0.030
183	6	1	85	0.040
193	6	1	99	0.050
193	6	0	79	0.013
193	6	0	48	0.000
193	6	1	97	0.028
193	6	1	75	0.037
195	6	1	85	0.020
195	6	1	78	0.029
195	6	1	72	0.004
195	6	1	72	0.015
195	6	0	44	0.013
277	6	1	250	1.776
277	6	1	250	1.776
277	6	1	250	1.776
277	6	1	250	1.776
277	6	1	250	1.776
280	6	1	102	0.030
280	6	0	69	0.029
280	6	1	99	0.017
280	6	0	60	0.020
280	6	1	93	0.019
284	6	1	87	0.055
284	6	0	47	0.025
284	6	0	48	0.010
284	6	0	51	0.024
284	6	1	73	0.037
292	6	1	106	0.000
292	6	1	97	0.025
292	6	1	102	0.020
292	6	1	102	0.038
292	6	0	88	0.004
2	6	1	86	0.042
2	6	1	84	0.033
2	6	1	70	0.008
2	6	1	83	0.025
2	6	1	77	0.006
6	6	1	97	0.083
6	6	1	85	0.080
6	6	1	83	0.029
6	6	1	81	0.046
6	6	1	79	0.029
30	6	0	78	0.007
30	6	0	62	0.008
30	6	1	85	0.022
30	6	1	82	0.048
30	6	1	89	0.028
35	6	1	95	0.032
35	6	1	81	0.040
35	6	1	70	0.039
35	6	1	70	0.039
35	6	1	71	0.048
45	6	1	101	0.054
45	6	1	112	0.032
45	6	1	73	0.002
45	6	1	103	0.033
45	6	0	55	0.029
256	7	0	24	0.001
256	7	0	23	0.002
256	7	0	33	0.000
256	7	1	58	0.023
256	7	0	19	0.032
252	7	1	54	0.026
252	7	0	28	0.000
252	7	0	24	0.024
252	7	1	50	0.018
252	7	1	43	0.034
201	7	1	82	0.026
201	7	1	52	0.042
201	7	0	28	0.023
201	7	0	29	0.026
201	7	0	32	0.022
86	7	1	64	0.067
86	7	1	66	0.048
86	7	1	64	0.026
86	7	1	59	0.023
86	7	1	58	0.058
150	7	0	59	0.033
150	7	1	60	0.051
150	7	1	54	0.021
150	7	1	55	0.015
150	7	0	25	0.009
235	7	1	65	0.032
235	7	1	56	0.065
235	7	0	27	0.000
235	7	0	28	0.000
235	7	1	58	0.052
241	7	1	58	0.014
241	7	1	68	0.040
241	7	1	63	0.011
241	7	1	59	0.007
241	7	0	40	0.000
218	7	1	53	0.039
218	7	0	23	0.012
218	7	0	21	0.019
218	7	0	21	0.011
218	7	0	21	0.014
43	7	0	57	0.005
43	7	1	72	0.028
43	7	1	58	0.018
43	7	1	66	0.026
43	7	1	61	0.088
46	7	1	55	0.031
46	7	1	58	0.007
46	7	1	55	0.015
46	7	0	21	0.015
46	7	0	19	0.001
137	7	0	54	0.006
137	7	0	58	0.019
137	7	1	67	0.028
137	7	1	57	0.025
137	7	1	47	0.029
171	7	0	30	0.000
171	7	1	64	0.052
171	7	0	21	0.021
171	7	0	26	0.000
171	7	0	50	0.012
238	7	1	60	0.029
238	7	1	61	0.061
238	7	1	56	0.023
238	7	1	57	0.020
238	7	1	61	0.034
251	7	1	46	0.040
251	7	1	49	0.030
251	7	1	44	0.024
251	7	1	43	0.043
251	7	1	44	0.028
4	7	1	60	0.062
4	7	1	62	0.022
4	7	1	58	0.028
4	7	1	54	0.040
4	7	1	63	0.017
151	7	1	59	0.059
151	7	1	54	0.032
151	7	1	43	0.031
151	7	0	32	0.000
151	7	1	49	0.022
162	7	1	61	0.058
162	7	0	49	0.012
162	7	1	48	0.001
162	7	1	51	0.026
162	7	1	50	0.039
224	7	1	49	0.012
224	7	1	46	0.027
224	7	1	45	0.028
224	7	1	45	0.006
224	7	1	45	0.007
253	7	0	23	0.000
253	7	1	49	0.017
253	7	1	56	0.027
253	7	1	49	0.026
253	7	1	61	0.002
267	7	0	34	0.028
267	7	1	61	0.036
267	7	0	37	0.007
267	7	0	40	0.004
267	7	0	47	0.008
273	7	1	91	0.003
273	7	0	36	0.000
273	7	1	62	0.012
273	7	0	32	0.000
273	7	1	58	0.057
278	7	1	74	0.034
278	7	1	69	0.029
278	7	1	51	0.028
278	7	1	53	0.001
278	7	0	23	0.025
78	7	1	35	0.008
78	7	1	86	0.035
78	7	1	54	0.038
78	7	1	56	0.040
78	7	0	34	0.000
89	7	1	250	1.776
89	7	1	250	1.776
89	7	1	250	1.776
89	7	1	250	1.776
89	7	1	250	1.776
124	7	0	25	0.022
124	7	0	25	0.002
124	7	0	36	0.000
124	7	1	53	0.056
124	7	1	61	0.042
144	7	0	33	0.000
144	7	0	45	0.012
144	7	1	44	0.052
144	7	1	46	0.034
144	7	1	44	0.032
176	7	1	58	0.042
176	7	1	54	0.055
176	7	1	57	0.003
176	7	1	53	0.006
176	7	1	53	0.039
196	7	1	59	0.058
196	7	1	47	0.058
196	7	0	20	0.014
196	7	1	57	0.026
196	7	0	35	0.020
213	7	1	61	0.042
213	7	0	48	0.020
213	7	1	52	0.023
213	7	1	49	0.053
213	7	1	51	0.033
225	7	1	67	0.032
225	7	0	21	0.004
225	7	1	50	0.036
225	7	0	36	0.000
225	7	1	54	0.027
226	7	0	32	0.017
226	7	0	35	0.031
226	7	1	44	0.070
226	7	1	43	0.069
226	7	1	43	0.071
232	7	1	49	0.023
232	7	1	47	0.027
232	7	1	46	0.004
232	7	0	40	0.021
232	7	1	51	0.039
269	7	1	59	0.050
269	7	1	72	0.032
269	7	0	34	0.028
269	7	0	26	0.000
269	7	1	46	0.020
7	7	0	33	0.029
7	7	0	37	0.000
7	7	1	51	0.058
7	7	1	54	0.029
7	7	0	38	0.000
13	7	1	45	0.039
13	7	1	48	0.046
13	7	1	43	0.031
13	7	1	43	0.036
13	7	1	45	0.023
27	7	1	44	0.094
27	7	1	44	0.110
27	7	1	44	0.039
27	7	1	45	0.160
27	7	1	44	0.045
104	7	0	60	0.024
104	7	1	70	0.038
104	7	0	34	0.000
104	7	1	44	0.022
104	7	1	47	0.052
142	7	0	34	0.000
142	7	1	52	0.066
142	7	1	49	0.025
142	7	1	44	0.034
142	7	1	44	0.057
183	7	1	65	0.118
183	7	1	79	0.096
183	7	1	62	0.031
183	7	1	60	0.072
183	7	1	58	0.080
193	7	0	26	0.000
193	7	0	25	0.018
193	7	0	20	0.011
193	7	0	24	0.018
193	7	1	65	0.000
195	7	1	46	0.033
195	7	1	47	0.025
195	7	1	44	0.034
195	7	1	44	0.035
195	7	1	45	0.039
277	7	1	250	1.776
277	7	1	250	1.776
277	7	1	250	1.776
277	7	1	250	1.776
277	7	1	250	1.776
280	7	0	40	0.022
280	7	1	71	0.040
280	7	1	60	0.039
280	7	0	39	0.021
280	7	1	71	0.034
284	7	0	32	0.000
284	7	0	28	0.009
284	7	1	48	0.057
284	7	0	27	0.017
284	7	0	26	0.008
292	7	1	67	0.037
292	7	1	85	0.026
292	7	0	21	0.016
292	7	0	21	0.000
292	7	0	21	0.022
2	7	1	56	0.057
2	7	1	49	0.015
2	7	1	44	0.009
2	7	1	45	0.007
2	7	0	21	0.000
6	7	1	58	0.039
6	7	0	23	0.017
6	7	1	55	0.082
6	7	1	55	0.054
6	7	1	58	0.026
30	7	1	63	0.066
30	7	1	60	0.029
30	7	0	20	0.024
30	7	1	58	0.054
30	7	1	61	0.026
35	7	1	53	0.015
35	7	1	43	0.050
35	7	1	45	0.041
35	7	1	45	0.017
35	7	1	49	0.040
45	7	0	27	0.019
45	7	1	50	0.024
45	7	1	44	0.026
45	7	0	34	0.024
45	7	0	20	0.004
256	8	1	105	0.028
256	8	0	29	0.015
256	8	1	60	0.025
256	8	1	69	0.027
256	8	1	60	0.025
252	8	1	63	0.023
252	8	1	164	0.011
252	8	1	59	0.050
252	8	1	59	0.030
252	8	0	32	0.021
201	8	1	71	0.034
201	8	1	69	0.026
201	8	0	38	0.026
201	8	1	65	0.025
201	8	1	70	0.030
86	8	1	75	0.063
86	8	1	75	0.066
86	8	1	67	0.055
86	8	1	63	0.039
86	8	1	67	0.064
150	8	1	93	0.039
150	8	1	92	0.045
150	8	1	83	0.029
150	8	0	75	0.014
150	8	1	66	0.063
235	8	1	77	0.027
235	8	1	72	0.031
235	8	1	65	0.002
235	8	1	64	0.038
235	8	1	63	0.026
241	8	1	90	0.036
241	8	1	80	0.040
241	8	1	70	0.046
241	8	0	40	0.000
241	8	0	58	0.009
218	8	1	74	0.056
218	8	1	68	0.068
218	8	1	60	0.032
218	8	1	59	0.031
218	8	1	61	0.010
43	8	1	68	0.096
43	8	1	70	0.111
43	8	1	83	0.048
43	8	1	71	0.023
