Below are the simulation results for the test trials
WORLD	TASK	SUCCESS	STEPS	LOWEST_CLEARANCE
0	6	1	171	0.112	
0	6	1	148	0.087	
0	6	1	70	0.087	
0	6	1	74	0.102	
0	6	1	74	0.091	
1	6	1	250	0.122	
1	6	1	250	0.154	
1	6	1	71	0.146	
1	6	1	72	0.129	
1	6	1	70	0.160	
2	6	1	250	0.071	
2	6	1	250	0.095	
2	6	1	36	0.121	
2	6	1	91	0.074	
2	6	1	82	0.110	
3	6	1	119	0.104	
3	6	1	100	0.131	
3	6	1	70	0.252	
3	6	1	75	0.208	
3	6	1	70	0.213	
4	6	1	250	0.064	
4	6	1	250	0.079	
4	6	1	103	0.098	
4	6	1	90	0.060	
4	6	1	98	0.086	
5	6	1	102	0.142	
5	6	1	84	0.141	
5	6	1	88	0.193	
5	6	1	89	0.100	
5	6	1	84	0.201	
6	6	1	250	0.068	
6	6	1	250	0.133	
6	6	1	79	0.102	
6	6	1	78	0.096	
6	6	1	80	0.084	
7	6	1	250	0.177	
7	6	1	250	0.121	
7	6	1	76	0.089	
7	6	1	75	0.095	
7	6	1	77	0.084	
8	6	1	240	0.137	
8	6	1	250	0.179	
8	6	1	69	0.113	
8	6	1	72	0.118	
8	6	1	73	0.122	
9	6	1	83	0.171	
9	6	1	71	0.210	
9	6	1	82	0.181	
9	6	1	73	0.206	
9	6	1	87	0.150	
10	6	1	158	0.166	
10	6	1	250	0.080	
10	6	1	74	0.155	
10	6	1	74	0.124	
10	6	1	82	0.089	
11	6	1	120	0.083	
11	6	1	99	0.154	
11	6	1	75	0.130	
11	6	1	73	0.174	
11	6	1	73	0.171	
12	6	1	250	0.129	
12	6	1	250	0.145	
12	6	1	82	0.096	
12	6	1	92	0.112	
12	6	1	82	0.108	
13	6	1	250	0.112	
13	6	1	250	0.161	
13	6	1	74	0.113	
13	6	1	77	0.120	
13	6	1	72	0.112	
14	6	1	250	0.236	
14	6	1	250	0.174	
14	6	1	73	0.097	
14	6	1	75	0.098	
14	6	1	65	0.049	
15	6	1	80	0.283	
15	6	1	81	0.271	
15	6	1	73	0.144	
15	6	1	75	0.154	
15	6	1	70	0.233	
16	6	1	91	0.123	
16	6	1	250	0.113	
16	6	1	75	0.140	
16	6	1	75	0.154	
16	6	1	75	0.127	
17	6	1	94	0.268	
17	6	1	102	0.221	
17	6	1	89	0.153	
17	6	1	89	0.125	
17	6	1	89	0.138	
18	6	1	75	0.240	
18	6	1	73	0.291	
18	6	1	76	0.166	
18	6	1	76	0.166	
18	6	1	76	0.166	
19	6	1	232	0.088	
19	6	1	227	0.096	
19	6	1	77	0.070	
19	6	1	79	0.083	
19	6	1	77	0.095	
20	6	1	74	0.209	
20	6	1	77	0.247	
20	6	1	74	0.177	
20	6	1	74	0.216	
20	6	1	74	0.172	
21	6	1	147	0.088	
21	6	1	250	0.101	
21	6	1	73	0.155	
21	6	1	69	0.155	
21	6	1	72	0.194	
22	6	1	250	0.160	
22	6	1	250	0.135	
22	6	1	82	0.078	
22	6	1	75	0.142	
22	6	1	73	0.057	
23	6	1	250	0.150	
23	6	1	250	0.178	
23	6	1	75	0.102	
23	6	1	33	0.074	
23	6	1	74	0.117	
24	6	1	250	0.103	
24	6	1	250	0.111	
24	6	1	79	0.143	
24	6	1	72	0.110	
24	6	1	73	0.115	
25	6	1	88	0.199	
25	6	1	94	0.208	
25	6	1	74	0.177	
25	6	1	74	0.154	
25	6	1	74	0.177	
26	6	1	185	0.106	
26	6	1	250	0.122	
26	6	1	75	0.124	
26	6	1	72	0.144	
26	6	1	70	0.125	
27	6	1	250	0.088	
27	6	1	141	0.136	
27	6	1	70	0.161	
27	6	1	70	0.166	
27	6	1	70	0.162	
28	6	1	74	0.321	
28	6	1	71	0.294	
28	6	1	69	0.169	
28	6	1	70	0.218	
28	6	1	70	0.186	
29	6	1	250	0.142	
29	6	1	250	0.067	
