Below are the simulation results for the test trials
WORLD	TASK	SUCCESS	STEPS	LOWEST_CLEARANCE
0	6	1	144	0.090	
0	6	1	166	0.075	
0	6	1	142	0.071	
0	6	1	148	0.082	
0	6	1	164	0.078	
1	6	1	139	0.072	
1	6	1	125	0.086	
1	6	1	123	0.123	
1	6	1	118	0.094	
1	6	1	250	0.092	
2	6	1	41	0.108	
2	6	1	107	0.065	
2	6	1	174	0.069	
2	6	1	101	0.067	
2	6	1	159	0.071	
3	6	1	114	0.099	
3	6	1	250	0.260	
3	6	1	98	0.257	
3	6	1	90	0.265	
3	6	1	114	0.118	
4	6	1	202	0.054	
4	6	1	161	0.051	
4	6	1	187	0.039	
4	6	1	250	0.057	
4	6	1	182	0.035	
5	6	1	77	0.230	
5	6	1	79	0.288	
5	6	1	84	0.347	
5	6	1	75	0.246	
5	6	1	81	0.326	
6	6	1	137	0.028	
6	6	1	134	0.066	
6	6	1	145	0.063	
6	6	1	134	0.076	
6	6	1	250	0.003	
7	6	1	158	0.044	
7	6	1	121	0.084	
7	6	1	124	0.075	
7	6	1	250	0.054	
7	6	1	134	0.056	
8	6	1	92	0.158	
8	6	1	103	0.140	
8	6	1	98	0.124	
8	6	1	100	0.119	
8	6	1	95	0.127	
9	6	1	90	0.133	
9	6	1	83	0.193	
9	6	1	83	0.259	
9	6	1	90	0.142	
9	6	1	85	0.195	
10	6	1	125	0.086	
10	6	1	114	0.105	
10	6	1	120	0.083	
10	6	1	118	0.105	
10	6	1	126	0.081	
11	6	1	96	0.195	
11	6	1	96	0.195	
11	6	1	99	0.221	
11	6	1	87	0.257	
11	6	1	100	0.221	
12	6	1	165	0.055	
12	6	1	250	0.064	
12	6	1	250	0.067	
12	6	1	250	0.064	
12	6	1	158	0.087	
13	6	1	95	0.118	
13	6	1	90	0.108	
13	6	1	102	0.076	
13	6	1	104	0.088	
13	6	1	91	0.108	
14	6	1	250	0.086	
14	6	1	114	0.144	
14	6	1	126	0.079	
14	6	1	103	0.134	
14	6	1	141	0.071	
15	6	1	101	0.106	
15	6	1	99	0.212	
15	6	1	102	0.109	
15	6	1	93	0.219	
15	6	1	94	0.241	
16	6	1	101	0.126	
16	6	1	101	0.142	
16	6	1	126	0.106	
16	6	1	250	0.086	
16	6	1	104	0.139	
17	6	1	124	0.124	
17	6	1	101	0.188	
17	6	1	111	0.183	
17	6	1	122	0.154	
17	6	1	113	0.143	
18	6	1	76	0.249	
18	6	1	89	0.179	
18	6	1	77	0.298	
18	6	1	77	0.298	
18	6	1	77	0.298	
19	6	1	138	0.096	
19	6	1	156	0.059	
19	6	1	250	0.127	
19	6	1	250	0.086	
19	6	1	145	0.088	
20	6	1	81	0.339	
20	6	1	79	0.270	
20	6	1	81	0.306	
20	6	1	79	0.294	
20	6	1	82	0.312	
21	6	1	105	0.128	
21	6	1	94	0.124	
21	6	1	93	0.140	
21	6	1	177	0.187	
21	6	1	92	0.176	
22	6	1	115	0.063	
22	6	1	124	0.054	
22	6	1	250	0.071	
22	6	1	121	0.061	
22	6	1	127	0.048	
23	6	1	54	0.094	
23	6	1	100	0.093	
23	6	1	142	0.104	
23	6	1	145	0.079	
23	6	1	52	0.099	
24	6	1	166	0.080	
24	6	1	168	0.054	
24	6	1	176	0.061	
24	6	1	103	0.057	
24	6	1	250	0.051	
25	6	1	90	0.191	
25	6	1	77	0.237	
25	6	1	81	0.226	
25	6	1	88	0.245	
25	6	1	85	0.194	
26	6	1	106	0.118	
26	6	1	126	0.082	
26	6	1	107	0.107	
26	6	1	115	0.102	
26	6	1	105	0.107	
27	6	1	78	0.156	
27	6	1	97	0.201	
27	6	1	80	0.164	
27	6	1	93	0.160	
27	6	1	100	0.127	
28	6	1	97	0.094	
28	6	1	93	0.206	
28	6	1	89	0.228	
28	6	1	96	0.198	
28	6	1	96	0.132	
29	6	1	69	0.077	
29	6	1	89	0.053	
29	6	1	82	0.052	
29	6	1	101	0.064	
29	6	1	89	0.067	
30	6	1	121	0.095	
30	6	1	150	0.079	
30	6	1	148	0.083	
30	6	1	130	0.064	
30	6	1	125	0.078	
31	6	1	97	0.149	
31	6	1	105	0.118	
31	6	1	106	0.212	
31	6	1	108	0.267	
31	6	1	250	0.109	
32	6	1	86	0.130	
32	6	1	88	0.109	
32	6	1	90	0.121	
32	6	1	250	0.145	
32	6	1	90	0.091	
33	6	1	71	0.077	
33	6	1	60	0.039	
33	6	0	99	0.020	
33	6	1	70	0.073	
33	6	1	63	0.078	
34	6	1	93	0.093	
34	6	1	83	0.119	
34	6	1	83	0.118	
34	6	1	89	0.099	
34	6	1	83	0.118	
35	6	1	108	0.090	
35	6	1	112	0.082	
35	6	1	111	0.111	
35	6	1	250	0.109	
35	6	1	108	0.115	
36	6	1	83	0.250	
36	6	1	84	0.224	
36	6	1	87	0.203	
36	6	1	82	0.230	
36	6	1	92	0.204	
37	6	1	122	0.059	
37	6	1	131	0.102	
37	6	1	124	0.077	
37	6	1	167	0.045	
37	6	1	129	0.049	
38	6	1	149	0.064	
38	6	1	163	0.052	
38	6	1	250	0.089	
