Below are the simulation results for the test trials
WORLD	TASK	SUCCESS	STEPS	LOWEST_CLEARANCE
0	6	1	81	0.060	
0	6	1	81	0.065	
0	6	1	102	0.070	
0	6	1	80	0.059	
0	6	1	79	0.076	
1	6	1	82	0.131	
1	6	1	83	0.151	
1	6	1	83	0.137	
1	6	1	85	0.149	
1	6	1	83	0.118	
2	6	1	77	0.071	
2	6	1	77	0.069	
2	6	1	79	0.081	
2	6	1	78	0.067	
2	6	1	37	0.019	
3	6	1	77	0.086	
3	6	1	76	0.077	
3	6	1	77	0.114	
3	6	1	77	0.114	
3	6	1	76	0.076	
4	6	1	49	0.086	
4	6	1	87	0.062	
4	6	1	88	0.057	
4	6	1	87	0.055	
4	6	1	87	0.063	
5	6	1	76	0.186	
5	6	1	76	0.185	
5	6	1	76	0.186	
5	6	1	77	0.182	
5	6	1	76	0.186	
6	6	1	44	0.060	
6	6	1	44	0.065	
6	6	1	82	0.090	
6	6	1	78	0.076	
6	6	1	80	0.074	
7	6	1	83	0.121	
7	6	1	81	0.068	
7	6	1	82	0.086	
7	6	1	82	0.088	
7	6	1	81	0.081	
8	6	1	77	0.117	
8	6	1	77	0.168	
8	6	1	77	0.115	
8	6	1	77	0.123	
8	6	1	77	0.128	
9	6	1	75	0.096	
9	6	1	75	0.091	
9	6	1	75	0.086	
9	6	1	75	0.089	
9	6	1	75	0.094	
10	6	1	77	0.054	
10	6	1	79	0.087	
10	6	1	76	0.074	
10	6	1	76	0.074	
10	6	1	75	0.093	
11	6	1	80	0.125	
11	6	1	80	0.125	
11	6	1	80	0.137	
11	6	1	80	0.137	
11	6	1	80	0.125	
12	6	1	76	0.065	
12	6	1	75	0.075	
12	6	1	75	0.077	
12	6	1	75	0.074	
12	6	1	75	0.069	
13	6	1	75	0.104	
13	6	1	76	0.121	
13	6	1	75	0.100	
13	6	1	74	0.103	
13	6	1	75	0.086	
14	6	1	76	0.100	
14	6	1	74	0.091	
14	6	1	76	0.097	
14	6	1	77	0.095	
14	6	1	74	0.099	
15	6	1	78	0.118	
15	6	1	76	0.175	
15	6	1	80	0.144	
15	6	1	76	0.175	
15	6	1	77	0.129	
16	6	1	81	0.071	
16	6	1	80	0.071	
16	6	1	49	0.047	
16	6	1	80	0.070	
16	6	1	50	0.046	
17	6	1	79	0.128	
17	6	1	79	0.074	
17	6	1	79	0.098	
17	6	1	79	0.083	
17	6	1	79	0.099	
18	6	1	78	0.138	
18	6	1	78	0.133	
18	6	1	78	0.138	
18	6	1	78	0.141	
18	6	1	78	0.136	
19	6	1	86	0.058	
19	6	1	85	0.066	
19	6	1	85	0.051	
19	6	1	102	0.049	
19	6	1	87	0.067	
20	6	1	79	0.228	
20	6	1	77	0.170	
20	6	1	76	0.123	
20	6	1	79	0.225	
20	6	1	79	0.211	
21	6	1	78	0.109	
21	6	1	76	0.092	
21	6	1	76	0.129	
21	6	1	78	0.095	
21	6	1	80	0.089	
22	6	1	78	0.049	
22	6	1	77	0.069	
22	6	1	76	0.058	
22	6	1	75	0.099	
22	6	1	77	0.057	
23	6	1	81	0.067	
23	6	1	82	0.069	
23	6	1	78	0.069	
23	6	1	82	0.069	
23	6	1	82	0.069	
24	6	1	81	0.119	
24	6	1	82	0.106	
24	6	1	82	0.128	
24	6	1	82	0.122	
24	6	1	82	0.114	
25	6	1	76	0.102	
25	6	1	76	0.102	
25	6	1	76	0.102	
25	6	1	76	0.102	
25	6	1	76	0.102	
26	6	1	76	0.090	
26	6	1	76	0.105	
26	6	1	76	0.101	
26	6	1	76	0.091	
26	6	1	76	0.090	
27	6	1	76	0.127	
27	6	1	76	0.129	
27	6	1	76	0.127	
27	6	1	76	0.051	
27	6	1	76	0.057	
28	6	1	75	0.158	
28	6	1	76	0.159	
28	6	1	77	0.141	
28	6	1	78	0.135	
28	6	1	76	0.135	
29	6	1	49	0.024	
29	6	1	49	0.029	
29	6	1	49	0.023	
29	6	1	49	0.023	
29	6	0	50	0.000	
30	6	1	98	0.105	
30	6	1	89	0.114	
30	6	1	88	0.068	
30	6	1	84	0.075	
30	6	1	86	0.068	
31	6	1	76	0.117	
31	6	1	76	0.117	
31	6	1	76	0.120	
31	6	1	76	0.117	
31	6	1	76	0.128	
32	6	1	77	0.075	
32	6	1	77	0.075	
32	6	1	77	0.075	
32	6	1	77	0.075	
32	6	1	77	0.075	
33	6	1	42	0.064	
33	6	1	40	0.053	
33	6	1	41	0.024	
33	6	1	44	0.044	
33	6	0	44	0.005	
34	6	1	77	0.103	
34	6	1	77	0.103	
34	6	1	77	0.089	
34	6	1	77	0.103	
34	6	1	79	0.120	
35	6	1	77	0.097	
35	6	1	76	0.099	
35	6	1	77	0.097	
35	6	1	77	0.074	
35	6	1	76	0.099	
36	6	1	77	0.171	
36	6	1	77	0.167	
36	6	1	77	0.163	
36	6	1	77	0.164	
36	6	1	77	0.171	
37	6	1	78	0.069	
37	6	1	79	0.075	
37	6	1	78	0.063	
37	6	1	77	0.060	
37	6	1	99	0.060	
38	6	1	77	0.050	
38	6	1	78	0.063	
38	6	1	77	0.045	
38	6	1	94	0.067	
38	6	1	95	0.041	
39	6	1	77	0.088	
39	6	1	77	0.095	
39	6	1	77	0.088	
39	6	1	77	0.094	
39	6	1	77	0.088	
40	6	1	77	0.341	
40	6	1	77	0.341	
40	6	1	77	0.356	
40	6	1	77	0.341	
40	6	1	77	0.344	
41	6	1	77	0.194	
41	6	1	77	0.223	
41	6	1	77	0.222	
41	6	1	77	0.222	
41	6	1	77	0.223	
42	6	1	77	0.640	
42	6	1	77	0.640	
42	6	1	77	0.640	
42	6	1	77	0.640	
42	6	1	77	0.640	
43	6	1	86	0.044	
43	6	1	83	0.038	
43	6	1	82	0.042	
43	6	1	83	0.037	
43	6	1	99	0.068	
44	6	1	84	0.080	
44	6	1	82	0.083	
44	6	1	83	0.075	
44	6	1	84	0.112	
44	6	1	81	0.063	
45	6	1	38	0.089	
45	6	1	79	0.079	
45	6	1	36	0.026	
45	6	1	78	0.091	
45	6	1	79	0.081	
46	6	1	39	0.040	
46	6	1	81	0.077	
46	6	1	80	0.078	
46	6	1	97	0.057	
46	6	1	82	0.074	
47	6	1	81	0.051	
47	6	1	83	0.055	
47	6	1	83	0.055	
47	6	1	80	0.072	
47	6	1	79	0.071	
48	6	1	78	0.091	
48	6	1	79	0.103	
48	6	1	81	0.094	
48	6	1	79	0.108	
48	6	1	78	0.106	
49	6	1	88	0.068	
49	6	1	90	0.100	
49	6	1	89	0.101	
49	6	1	88	0.066	
49	6	1	88	0.063	
50	6	1	76	0.111	
50	6	1	76	0.118	
50	6	1	76	0.117	
50	6	1	76	0.116	
50	6	1	77	0.122	
51	6	1	74	0.149	
51	6	1	77	0.182	
51	6	1	75	0.182	
51	6	1	75	0.185	
51	6	1	83	0.171	
52	6	1	80	0.109	
52	6	1	77	0.124	
52	6	1	78	0.153	
52	6	1	79	0.141	
52	6	1	79	0.147	
53	6	1	77	0.131	
53	6	1	77	0.110	
53	6	1	77	0.124	
53	6	1	78	0.131	
53	6	1	77	0.107	
54	6	1	76	0.109	
54	6	1	76	0.108	
54	6	1	76	0.221	
54	6	1	76	0.122	
54	6	1	76	0.108	
55	6	1	79	0.096	
55	6	1	78	0.084	
55	6	1	79	0.109	
55	6	1	78	0.113	
55	6	1	89	0.099	
56	6	1	78	0.097	
56	6	1	78	0.096	
56	6	1	80	0.106	
